provincia,viv_bp,defhab_simple_10,defhab_compuesto_10,def_cuali_10,Poblacion2010,Hogares2010,Viviendas2010,defhab_simple_pct_10,defhab_compuesto_pct_10,def_cuali_pct_10,defhab_simple_22,defhab_compuesto_22,def_cuali_22,Poblacion2022,Hogares2022,Viviendas2022,defhab_simple_pct_22,defhab_compuesto_pct_22,def_cuali_pct_22,var_viv,viv_bp_pr
Buenos Aires,50081,311380,479721,1362572,15625150,4788948,5377786,6.502054313389914,10.01725222324402,28.452428383018567,80848,276866,1534800,17408906,6051550,6745665,1.335988300518049,4.57512538110071,25.362097313911313,1367879,3.6612156484601344
Catamarca,1214,5865,9120,22801,367556,95948,113634,6.11268603827073,9.505148622170342,23.763913786634426,3175,6772,22318,427625,135153,156168,2.349189437156408,5.010617596353762,16.513136963293455,42534,2.8541872384445384
Chaco,14978,16510,37868,121487,1055337,288479,312602,5.723120227122251,13.12677872566114,42.1129440964507,5759,29885,138348,1124603,374487,411116,1.53783709447858,7.9802503157653,36.94333848705028,98514,15.203930405830643
Chubut,2596,9894,14859,18640,509194,157036,177985,6.300466135153723,9.462161542576226,11.86988970681882,1940,7681,17846,589454,215257,240945,0.9012482753174113,3.568292784903627,8.290555010986866,62960,4.123252858958069
CABA,508,66330,110900,26288,2892544,1152634,1423973,5.754645446863445,9.621440977795206,2.280689273438056,15477,67064,30874,3095454,1406735,1614354,1.1002072174219024,4.767351349045841,2.1947275073130332,190381,0.2668333499666458
Córdoba,5648,49165,63209,148837,3306600,1032621,1232211,4.761185371980621,6.121219692413771,14.413516672622384,16163,37701,146667,3812064,1394400,1614694,1.159136546184739,2.7037435456110157,10.51828743545611,382483,1.4766669368311793
Corrientes,4895,17354,42235,63107,992259,267843,292644,6.479168766777553,15.768565913613571,23.561190697535498,8171,34924,82351,1209671,379129,408470,2.155203110287,9.211640365152759,21.721102843623147,115826,4.226166836461589
Entre Ríos,2485,16330,29381,64303,1236959,375110,425591,4.353389672362773,7.8326357601770145,17.142438218122685,6187,22740,65795,1415097,500660,557956,1.2357687852035313,4.542004553988735,13.14165301801622,132365,1.8773845049673252
Formosa,4114,8362,24445,56602,530132,140261,154458,5.961742751014181,17.428223098366615,40.35476718403548,3517,19667,71251,605507,198206,218558,1.7744165161498644,9.922504868671988,35.94795313966277,64100,6.418096723868954
Jujuy,11538,19112,31714,42404,673574,174669,195785,10.9418385632253,18.15662767863788,24.276774928579197,7565,21608,49466,809364,245706,266244,3.0788828925626563,8.794250038664094,20.132190504098393,70459,16.37548077605416
La Pampa,103,2378,3656,14965,319293,107777,133186,2.206407675106934,3.3921894281711307,13.885151748517774,694,2113,17071,359193,141573,164268,0.49020646592217443,1.4925162283768798,12.058090172561151,31082,0.3313815069815327
La Rioja,1460,4207,8356,18586,334121,91239,108967,4.6109668014774385,9.158364295969927,20.37067482107432,2107,8231,16811,382453,126256,148070,1.6688315802813332,6.519294132556077,13.315010771765301,39103,3.73372886990768
Mendoza,5504,34426,47801,75986,1739227,494990,538056,6.9548879775349,9.656962766924584,15.35101719226651,12717,29825,85227,2030773,652184,701357,1.9499098413944531,4.573095936116188,13.067937882560749,163301,3.3704631324976577
Misiones,6694,11464,34300,113762,1101071,302739,330049,3.786760212592365,11.329891424626494,37.57758333085595,5566,27628,111482,1273347,425667,464102,1.307594903997726,6.490519584557881,26.189955998468285,134053,4.993547328295525
Neuquén,2498,10539,17721,22357,551039,172164,193733,6.121488812992263,10.29309263260612,12.985873934155807,2836,12265,26337,708578,257381,283756,1.1018684362870608,4.765309016594077,10.232690058706742,90023,2.774846428135032
Río Negro,8338,8375,16076,33061,639142,199319,236609,4.201807153357181,8.065462901178513,16.586978662345288,2564,10764,33680,747697,278935,307730,0.919210568770502,3.85896355781813,12.074497642820011,71121,11.723682175447477
Salta,9080,31286,61019,74576,1214482,299822,315186,10.434858015756015,20.351742033606605,24.873424898773273,13926,52093,88651,1434225,418430,457992,3.3281552469947187,12.449633152498626,21.18657840021031,142806,6.358276262902118
San Juan,772,13141,25507,28305,680970,177094,188655,7.42035303285261,14.403085367093183,15.98303725704993,5658,18362,29222,819445,247094,263402,2.289816830841704,7.43118003674715,11.82626854557375,74747,1.0328173705968133
San Luis,1299,7566,10280,17838,432204,126803,142049,5.966735802780692,8.107063713003635,14.06749051678588,2663,7973,19593,540548,185549,204364,1.4352004052837795,4.296978156713321,10.559474855698495,62315,2.0845703281713877
Santa Cruz,1821,5112,7569,7325,271036,80725,93881,6.332610715391763,9.376277485289563,9.07401672344379,1215,5381,10955,335677,119262,134840,1.018765407254616,4.51191494356962,9.185658466234006,40959,4.445909323958105
Santa Fe,5897,82179,107400,223779,3192718,1023038,1143651,8.032839444869106,10.498143763965757,21.873967535907756,16507,45300,241719,3519059,1289967,1450807,1.279645138208962,3.5117177416166463,18.738386330813114,307156,1.9198713357381918
Santiago del Estero,4825,19284,43555,82631,873352,217857,242034,8.851677935526515,19.99247212621123,37.92900847803835,5631,25981,110912,1057752,316992,345428,1.7763855239248938,8.196105895416919,34.988895618816876,103394,4.6666150840474305
Tierra del Fuego,1769,1684,8550,4103,126252,38377,43360,4.388044922740183,22.27896917424499,10.691299476248794,652,7839,4440,184958,66187,69757,0.9850877060449937,11.843715533261818,6.708265973680633,26397,6.701519112020306
Tucumán,7445,32323,49385,99131,1447886,368572,396040,8.769792604972706,13.399010234092659,26.895966052765807,11748,33240,105170,1727337,505542,552986,2.323842529404085,6.575121354902263,20.803414948708514,156946,4.743669797255107
